,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
67,2020-09-05,20:45,UEFA Nations League,League A,Sat,Away,W,2,0,dk Denmark,49.0,,Jan Vertonghen,3-4-3,Sandro Schärer,Match Report,,11,5,0,0,1,1,Belgium
68,2020-09-08,20:45,UEFA Nations League,League A,Tue,Home,W,5,1,is Iceland,75.0,,Toby Alderweireld,3-4-3,Paweł Raczkowski,Match Report,,20,12,0,0,2,0,Belgium
69,2020-10-11,17:00,UEFA Nations League,League A,Sun,Away,L,1,2,eng England,53.0,,Kevin De Bruyne,3-4-3,Tobias Stieler,Match Report,,11,2,1,1,1,0,Belgium
70,2020-10-14,18:45,UEFA Nations League,League A,Wed,Away,W,2,1,is Iceland,67.0,60.0,Romelu Lukaku,3-4-3,Andris Treimanis,Match Report,,9,2,1,1,1,0,Belgium
71,2020-11-15,20:45,UEFA Nations League,League A,Sun,Home,W,2,0,eng England,45.0,,Jan Vertonghen,3-4-3,Danny Makkelie,Match Report,,8,3,0,0,2,1,Belgium
72,2020-11-18,20:45,UEFA Nations League,League A,Wed,Home,W,4,2,dk Denmark,52.0,,Jan Vertonghen,3-4-3,Slavko Vinčič,Match Report,,8,5,0,0,2,0,Belgium
73,2021-10-07,20:45,UEFA Nations League,Semi-finals,Thu,Neutral,L,2,3,fr France,51.0,12409.0,Eden Hazard,3-4-3,Daniel Siebert,Match Report,,0,0,0,0,0,0,Belgium
74,2021-10-10,15:00,UEFA Nations League,Third-place match,Sun,Neutral,L,1,2,it Italy,60.0,16724.0,Jan Vertonghen,3-4-3,Srđan Jovanović,Match Report,,0,0,0,0,0,0,Belgium
75,2020-09-05,20:45,UEFA Nations League,League A,Sat,Home,L,0,2,be Belgium,51.0,,Simon Kjær,4-2-3-1,Sandro Schärer,Match Report,,8,1,0,0,3,0,Denmark
76,2020-09-08,20:45,UEFA Nations League,League A,Tue,Home,D,0,0,eng England,46.0,,Kasper Schmeichel,4-3-3,István Kovács,Match Report,,11,2,0,0,1,1,Denmark
77,2020-10-11,18:45,UEFA Nations League,League A,Sun,Away,W,3,0,is Iceland,66.0,60.0,Simon Kjær,4-3-3,Bojan Pandzic,Match Report,,16,4,0,0,3,1,Denmark
78,2020-10-14,19:45,UEFA Nations League,League A,Wed,Away,W,1,0,eng England,56.0,,Simon Kjær,4-3-3,Jesús Gil,Match Report,,10,4,1,1,4,1,Denmark
79,2020-11-15,20:45,UEFA Nations League,League A,Sun,Home,W,2,1,is Iceland,58.0,141.0,Simon Kjær,4-3-2-1,Halil Umut Meler,Match Report,,11,3,2,2,3,0,Denmark
80,2020-11-18,20:45,UEFA Nations League,League A,Wed,Away,L,2,4,be Belgium,48.0,,Simon Kjær,4-3-3,Slavko Vinčič,Match Report,,8,3,0,0,1,0,Denmark
81,2020-09-05,16:00,UEFA Nations League,League A,Sat,Away,W,1,0,is Iceland,78.0,,Harry Kane,5-3-2,Srđan Jovanović,Match Report,,13,4,1,1,0,1,England
82,2020-09-08,20:45,UEFA Nations League,League A,Tue,Away,D,0,0,dk Denmark,54.0,,Harry Kane,4-3-3,István Kovács,Match Report,,6,2,0,0,2,1,England
83,2020-10-11,17:00,UEFA Nations League,League A,Sun,Home,W,2,1,be Belgium,47.0,,Jordan Henderson,3-4-3,Tobias Stieler,Match Report,,9,3,1,1,1,0,England
84,2020-10-14,19:45,UEFA Nations League,League A,Wed,Home,L,0,1,dk Denmark,44.0,,Harry Kane,5-3-2,Jesús Gil,Match Report,,15,5,0,0,3,0,England
85,2020-11-15,20:45,UEFA Nations League,League A,Sun,Away,L,0,2,be Belgium,55.0,,Harry Kane,3-4-3,Danny Makkelie,Match Report,,16,3,0,0,1,0,England
86,2020-11-18,19:45,UEFA Nations League,League A,Wed,Home,W,4,0,is Iceland,78.0,,Harry Kane,3-5-2,Fábio Veríssimo,Match Report,,25,10,0,0,0,1,England
87,2020-09-05,20:45,UEFA Nations League,League A,Sat,Away,W,1,0,se Sweden,49.0,,Hugo Lloris,3-4-1-2,Szymon Marciniak,Match Report,,7,1,0,1,3,1,France
88,2020-09-08,20:45,UEFA Nations League,League A,Tue,Home,W,4,2,hr Croatia,43.0,,Hugo Lloris,3-4-1-2,Ovidiu Hațegan,Match Report,,13,6,1,1,2,0,France
89,2020-10-11,20:45,UEFA Nations League,League A,Sun,Home,D,0,0,pt Portugal,50.0,1000.0,Hugo Lloris,4-2-1-1-2,Carlos del Cerro,Match Report,,10,3,0,0,3,1,France
90,2020-10-14,20:45,UEFA Nations League,League A,Wed,Away,W,2,1,hr Croatia,48.0,6266.0,Hugo Lloris,4-3-1-2,Björn Kuipers,Match Report,,5,3,0,0,3,0,France
91,2020-11-14,19:45,UEFA Nations League,League A,Sat,Away,W,1,0,pt Portugal,50.0,,Hugo Lloris,4-3-3,Tobias Stieler,Match Report,,13,7,0,0,6,1,France
92,2020-11-17,20:45,UEFA Nations League,League A,Tue,Home,W,4,2,se Sweden,52.0,,Hugo Lloris,4-4-2,Aliaksei Kulbakou,Match Report,,16,8,0,0,0,0,France
93,2021-10-07,20:45,UEFA Nations League,Semi-finals,Thu,Neutral,W,3,2,be Belgium,49.0,12409.0,Hugo Lloris,3-4-3,Daniel Siebert,Match Report,,0,0,1,1,0,0,France
94,2021-10-10,20:45,UEFA Nations League,Final,Sun,Neutral,W,2,1,es Spain,36.0,31511.0,Hugo Lloris,3-4-1-2,Anthony Taylor,Match Report,,0,0,0,0,0,0,France
95,2020-09-05,19:45,UEFA Nations League,League A,Sat,Home,W,4,1,hr Croatia,57.0,,João Moutinho,4-3-3,Davide Massa,Match Report,,26,10,0,0,1,0,Portugal
96,2020-09-08,20:45,UEFA Nations League,League A,Tue,Away,W,2,0,se Sweden,67.0,,Cristiano Ronaldo,4-3-3,Danny Makkelie,Match Report,,21,9,0,0,1,1,Portugal
97,2020-10-11,20:45,UEFA Nations League,League A,Sun,Away,D,0,0,fr France,51.0,1000.0,Cristiano Ronaldo,4-3-3,Carlos del Cerro,Match Report,,10,3,0,0,3,1,Portugal
98,2020-10-14,19:45,UEFA Nations League,League A,Wed,Home,W,3,0,se Sweden,49.0,5000.0,Pepe,4-1-4-1,Srđan Jovanović,Match Report,,17,6,0,0,3,1,Portugal
99,2020-11-14,19:45,UEFA Nations League,League A,Sat,Home,L,0,1,fr France,50.0,,Cristiano Ronaldo,4-2-3-1,Tobias Stieler,Match Report,,18,6,0,0,6,0,Portugal
100,2020-11-17,20:45,UEFA Nations League,League A,Tue,Away,W,3,2,hr Croatia,60.0,,Cristiano Ronaldo,4-3-3,Michael Oliver,Match Report,,17,8,0,0,1,0,Portugal
101,2020-09-05,19:45,UEFA Nations League,League A,Sat,Away,L,1,4,pt Portugal,43.0,,Domagoj Vida,4-2-3-1,Davide Massa,Match Report,,5,2,0,0,7,0,Croatia
102,2020-09-08,20:45,UEFA Nations League,League A,Tue,Away,L,2,4,fr France,57.0,,Ivan Perišić,4-3-3,Ovidiu Hațegan,Match Report,,11,4,0,0,3,0,Croatia
103,2020-10-11,18:00,UEFA Nations League,League A,Sun,Home,W,2,1,se Sweden,54.0,2020.0,Luka Modrić,4-3-3,John Beaton,Match Report,,14,7,0,0,2,0,Croatia
104,2020-10-14,20:45,UEFA Nations League,League A,Wed,Home,L,1,2,fr France,52.0,6266.0,Luka Modrić,4-2-3-1,Björn Kuipers,Match Report,,10,4,0,0,1,0,Croatia
105,2020-11-14,20:45,UEFA Nations League,League A,Sat,Away,L,1,2,se Sweden,56.0,,Luka Modrić,4-2-3-1,Daniel Siebert,Match Report,,8,3,0,0,4,0,Croatia
106,2020-11-17,20:45,UEFA Nations League,League A,Tue,Home,L,2,3,pt Portugal,41.0,,Luka Modrić,4-1-4-1,Michael Oliver,Match Report,,7,3,0,0,5,0,Croatia
107,2020-09-05,20:45,UEFA Nations League,League A,Sat,Home,L,0,1,fr France,51.0,,Sebastian Larsson,4-4-2,Szymon Marciniak,Match Report,,11,3,0,0,0,0,Sweden
108,2020-09-08,20:45,UEFA Nations League,League A,Tue,Home,L,0,2,pt Portugal,33.0,,Marcus Berg,4-4-2,Danny Makkelie,Match Report,,8,1,0,0,6,0,Sweden
109,2020-10-11,18:00,UEFA Nations League,League A,Sun,Away,L,1,2,hr Croatia,46.0,2020.0,Marcus Berg,4-4-2,John Beaton,Match Report,,14,3,0,0,4,0,Sweden
110,2020-10-14,19:45,UEFA Nations League,League A,Wed,Away,L,0,3,pt Portugal,51.0,5000.0,Marcus Berg,4-4-2,Srđan Jovanović,Match Report,,8,3,0,0,3,0,Sweden
111,2020-11-14,20:45,UEFA Nations League,League A,Sat,Home,W,2,1,hr Croatia,44.0,,Marcus Berg,4-4-2,Daniel Siebert,Match Report,,11,6,0,0,3,0,Sweden
112,2020-11-17,20:45,UEFA Nations League,League A,Tue,Away,L,2,4,fr France,48.0,,Marcus Berg,4-4-2,Aliaksei Kulbakou,Match Report,,6,2,0,0,4,0,Sweden
113,2020-09-03,20:45,UEFA Nations League,League A,Thu,Away,D,1,1,de Germany,59.0,,Sergio Ramos,4-3-3,Daniele Orsato,Match Report,,12,5,0,0,7,0,Spain
114,2020-09-06,20:45,UEFA Nations League,League A,Sun,Home,W,4,0,ua Ukraine,70.0,,Sergio Ramos,4-4-2,Benoît Bastien,Match Report,,25,10,1,1,2,1,Spain
115,2020-10-10,20:45,UEFA Nations League,League A,Sat,Home,W,1,0,ch Switzerland,60.0,,Sergio Ramos,4-3-3,Ali Palabıyık,Match Report,,12,2,0,0,1,1,Spain
116,2020-10-13,21:45,UEFA Nations League,League A,Tue,Away,L,0,1,ua Ukraine,72.0,10495.0,Sergio Ramos,4-3-3,Paweł Gil,Match Report,,21,8,0,0,0,0,Spain
117,2020-11-14,20:45,UEFA Nations League,League A,Sat,Away,D,1,1,ch Switzerland,71.0,,Sergio Ramos,4-2-3-1,William Collum,Match Report,,20,7,0,2,2,0,Spain
118,2020-11-17,20:45,UEFA Nations League,League A,Tue,Home,W,6,0,de Germany,70.0,,Sergio Ramos,4-2-3-1,Andreas Ekberg,Match Report,,23,10,0,0,0,1,Spain
119,2021-10-06,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,W,2,1,it Italy,75.0,33524.0,Sergio Busquets,4-3-3,Sergey Karasev,Match Report,,0,0,0,0,0,0,Spain
