,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation,xG,xGA,Venue Num,target
332,2021-09-08,18:45,WCQ,First round,Wed,Away,W,4,0,Iceland,71.0,3505.0,Manuel Neuer,4-2-3-1,Andreas Ekberg,Match Report,,19.0,8.0,0,0,2.0,1,Germany,,,2,3.0
314,2021-09-08,20:45,WCQ,First round,Wed,Home,D,1.0,1.0,England,37.0,56212.0,Robert Lewandowski,4-4-2,Daniel Siebert,Match Report,,11.0,4.0,0,0,1.0,0,Poland,,,1,2.0
151,2021-09-08,19:45,WCQ,First round,Wed,Away,D,0,0,Northern Ireland,75.0,15660.0,Yann Sommer,4-3-2-1,Harald Lechner,Match Report,,8.0,3.0,0,1,0.0,1,Switzerland,,,2,2.0
22,2021-09-08,20:45,WCQ,First round,Wed,Away,D,1,1,Poland,63.0,56212.0,Harry Kane,4-2-3-1,Daniel Siebert,Match Report,,13.0,2.0,0,0,3.0,0,England,,,2,2.0
39,2021-09-08,20:45,WCQ,First round,Wed,Home,D,1.0,1.0,England,37.0,56212.0,Robert Lewandowski,4-4-2,Daniel Siebert,Match Report,,11.0,4.0,0,0,1.0,0,Poland,,,1,2.0
300,2021-09-08,20:45,WCQ,First round,Wed,Away,W,2,0,Kosovo,73.0,1200.0,Sergio Busquets,4-3-3,Bobby Madden,Match Report,,19.0,4.0,0,0,3.0,1,Spain,,,2,3.0
252,2021-09-08,20:45,WCQ,First round,Wed,Away,D,1,1,Poland,63.0,56212.0,Harry Kane,4-2-3-1,Daniel Siebert,Match Report,,13.0,2.0,0,0,3.0,0,England,,,2,2.0
283,2021-09-08,19:45,WCQ,First round,Wed,Away,D,0,0,Northern Ireland,75.0,15660.0,Yann Sommer,4-3-2-1,Harald Lechner,Match Report,,8.0,3.0,0,1,0.0,1,Switzerland,,,2,2.0
348,2021-09-08,21:45,WCQ,First round,Wed,Away,W,1,0,Belarus,75.0,,Toby Alderweireld,3-4-3,Paweł Raczkowski,Match Report,,12.0,5.0,0,0,2.0,1,Belgium,,,2,3.0
89,2021-09-08,20:45,WCQ,First round,Wed,Away,W,2,0,Kosovo,73.0,1200.0,Sergio Busquets,4-3-3,Bobby Madden,Match Report,,19.0,4.0,0,0,3.0,1,Spain,,,2,3.0
103,2021-09-08,18:45,WCQ,First round,Wed,Away,W,4,0,Iceland,71.0,3505.0,Manuel Neuer,4-2-3-1,Andreas Ekberg,Match Report,,19.0,8.0,0,0,2.0,1,Germany,,,2,3.0
139,2021-09-08,21:45,WCQ,First round,Wed,Away,W,1,0,Belarus,75.0,,Toby Alderweireld,3-4-3,Paweł Raczkowski,Match Report,,12.0,5.0,0,0,2.0,1,Belgium,,,2,3.0
53,2021-10-06,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,L,1,2,Spain,25.0,33524.0,Leonardo Bonucci,4-3-3,Sergey Karasev,Match Report,,0.0,0.0,0,0,0.0,0,Italy,,,3,1.0
119,2021-10-06,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,W,2,1,Italy,75.0,33524.0,Sergio Busquets,4-3-3,Sergey Karasev,Match Report,,0.0,0.0,0,0,0.0,0,Spain,,,3,3.0
93,2021-10-07,20:45,UEFA Nations League,Semi-finals,Thu,Neutral,W,3,2,Belgium,49.0,12409.0,Hugo Lloris,3-4-3,Daniel Siebert,Match Report,,0.0,0.0,1,1,0.0,0,France,,,3,3.0
73,2021-10-07,20:45,UEFA Nations League,Semi-finals,Thu,Neutral,L,2,3,France,51.0,12409.0,Eden Hazard,3-4-3,Daniel Siebert,Match Report,,0.0,0.0,0,0,0.0,0,Belgium,,,3,1.0
236,2021-10-08,21:45,WCQ,First round,Fri,Away,W,1,0,Latvia,78.0,4711.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,19.0,4.0,0,0,1.0,1,Netherlands,,,2,3.0
333,2021-10-08,20:45,WCQ,First round,Fri,Home,W,2,1,Romania,77.0,25000.0,Joshua Kimmich,4-2-3-1,Cüneyt Çakιr,Match Report,,22.0,6.0,0,0,0.0,0,Germany,,,1,3.0
120,2021-10-08,21:45,WCQ,First round,Fri,Away,W,3,0,Cyprus,75.0,2333.0,Luka Modrić,4-1-4-1,Michael Oliver,Match Report,,27.0,11.0,0,1,1.0,1,Croatia,,,2,3.0
216,2021-10-08,21:45,WCQ,First round,Fri,Away,W,3,0,Cyprus,75.0,2333.0,Luka Modrić,4-1-4-1,Michael Oliver,Match Report,,27.0,11.0,0,1,1.0,1,Croatia,,,2,3.0
6,2021-10-08,21:45,WCQ,First round,Fri,Away,W,1,0,Latvia,78.0,4711.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,19.0,4.0,0,0,1.0,1,Netherlands,,,2,3.0
104,2021-10-08,20:45,WCQ,First round,Fri,Home,W,2,1,Romania,77.0,25000.0,Joshua Kimmich,4-2-3-1,Cüneyt Çakιr,Match Report,,22.0,6.0,0,0,0.0,0,Germany,,,1,3.0
253,2021-10-09,20:45,WCQ,First round,Sat,Away,W,5,0,Andorra,86.0,2285.0,Kieran Trippier,4-3-3,Kateryna Monzul,Match Report,,17.0,8.0,0,1,0.0,1,England,,,2,3.0
284,2021-10-09,20:45,WCQ,First round,Sat,Home,W,2,0,Northern Ireland,72.0,19129.0,Xherdan Shaqiri,4-3-1-2,Slavko Vinčič,Match Report,,27.0,8.0,0,0,1.0,1,Switzerland,,,1,3.0
377,2021-10-09,20:45,WCQ,First round,Sat,Away,W,1,0,Luxembourg,48.0,2000.0,Dušan Tadić,3-4-1-2,William Collum,Match Report,,11.0,4.0,0,0,1.0,1,Serbia,,,2,3.0
168,2021-10-09,20:45,WCQ,First round,Sat,Away,W,1,0,Luxembourg,48.0,2000.0,Dušan Tadić,3-4-1-2,William Collum,Match Report,,11.0,4.0,0,0,1.0,1,Serbia,,,2,3.0
23,2021-10-09,20:45,WCQ,First round,Sat,Away,W,5,0,Andorra,86.0,2285.0,Kieran Trippier,4-3-3,Kateryna Monzul,Match Report,,17.0,8.0,0,1,0.0,1,England,,,2,3.0
315,2021-10-09,20:45,WCQ,First round,Sat,Home,W,5.0,0.0,San Marino,83.0,56128.0,Robert Lewandowski,4-4-2,Fran Jović,Match Report,,31.0,12.0,0,0,1.0,2,Poland,,,1,3.0
152,2021-10-09,20:45,WCQ,First round,Sat,Home,W,2,0,Northern Ireland,72.0,19129.0,Xherdan Shaqiri,4-3-1-2,Slavko Vinčič,Match Report,,27.0,8.0,0,0,1.0,1,Switzerland,,,1,3.0
363,2021-10-09,21:45,WCQ,First round,Sat,Away,W,4,0,Moldova,69.0,2642.0,Simon Kjær,3-4-3,João Pinheiro,Match Report,,21.0,10.0,1,1,0.0,1,Denmark,,,2,3.0
75,2021-10-09,21:45,WCQ,First round,Sat,Away,W,4,0,Moldova,69.0,2642.0,Simon Kjær,3-4-3,João Pinheiro,Match Report,,21.0,10.0,1,1,0.0,1,Denmark,,,2,3.0
40,2021-10-09,20:45,WCQ,First round,Sat,Home,W,5.0,0.0,San Marino,83.0,56128.0,Robert Lewandowski,4-4-2,Fran Jović,Match Report,,31.0,12.0,0,0,1.0,2,Poland,,,1,3.0
54,2021-10-10,15:00,UEFA Nations League,Third-place match,Sun,Neutral,W,2,1,Belgium,40.0,16724.0,Gianluigi Donnarumma,4-3-3,Srđan Jovanović,Match Report,,0.0,0.0,1,1,0.0,0,Italy,,,3,3.0
120,2021-10-10,20:45,UEFA Nations League,Final,Sun,Neutral,L,1,2,France,64.0,31511.0,Sergio Busquets,4-3-3,Anthony Taylor,Match Report,,0.0,0.0,0,0,0.0,0,Spain,,,3,1.0
94,2021-10-10,20:45,UEFA Nations League,Final,Sun,Neutral,W,2,1,Spain,36.0,31511.0,Hugo Lloris,3-4-1-2,Anthony Taylor,Match Report,,0.0,0.0,0,0,0.0,0,France,,,3,3.0
74,2021-10-10,15:00,UEFA Nations League,Third-place match,Sun,Neutral,L,1,2,Italy,60.0,16724.0,Jan Vertonghen,3-4-3,Srđan Jovanović,Match Report,,0.0,0.0,0,0,0.0,0,Belgium,,,3,1.0
237,2021-10-11,20:45,WCQ,First round,Mon,Home,W,6,0,Gibraltar,82.0,31583.0,Virgil van Dijk,4-3-3,Vitaly Meshkov,Match Report,,31.0,12.0,1,2,0.0,1,Netherlands,,,1,3.0
105,2021-10-11,20:45,WCQ,First round,Mon,Away,W,4,0,N. Macedonia,74.0,16182.0,Manuel Neuer,4-2-3-1,Danny Makkelie,Match Report,,24.0,10.0,0,0,1.0,1,Germany,,,2,3.0
121,2021-10-11,20:45,WCQ,First round,Mon,Home,D,2,2,Slovakia,69.0,9926.0,Luka Modrić,4-1-4-1,Ovidiu Hațegan,Match Report,,21.0,10.0,0,0,0.0,0,Croatia,,,1,2.0
334,2021-10-11,20:45,WCQ,First round,Mon,Away,W,4,0,N. Macedonia,74.0,16182.0,Manuel Neuer,4-2-3-1,Danny Makkelie,Match Report,,24.0,10.0,0,0,1.0,1,Germany,,,2,3.0
217,2021-10-11,20:45,WCQ,First round,Mon,Home,D,2,2,Slovakia,69.0,9926.0,Luka Modrić,4-1-4-1,Ovidiu Hațegan,Match Report,,21.0,10.0,0,0,0.0,0,Croatia,,,1,2.0
7,2021-10-11,20:45,WCQ,First round,Mon,Home,W,6,0,Gibraltar,82.0,31583.0,Virgil van Dijk,4-3-3,Vitaly Meshkov,Match Report,,31.0,12.0,1,2,0.0,1,Netherlands,,,1,3.0
76,2021-10-12,20:45,WCQ,First round,Tue,Home,W,1,0,Austria,49.0,35843.0,Simon Kjær,3-4-3,Ivan Kružliak,Match Report,,9.0,4.0,0,0,0.0,1,Denmark,,,1,3.0
254,2021-10-12,19:45,WCQ,First round,Tue,Home,D,1,1,Hungary,64.0,69380.0,Harry Kane,4-3-3,Alejandro Hernández,Match Report,,11.0,5.0,0,0,0.0,0,England,,,1,2.0
364,2021-10-12,20:45,WCQ,First round,Tue,Home,W,1,0,Austria,49.0,35843.0,Simon Kjær,3-4-3,Ivan Kružliak,Match Report,,9.0,4.0,0,0,0.0,1,Denmark,,,1,3.0
182,2021-10-12,19:45,WCQ,First round,Tue,Home,W,5,0,Luxembourg,55.0,18553.0,Cristiano Ronaldo,4-3-3,Benoît Bastien,Match Report,,21.0,11.0,2,2,2.0,1,Portugal,,,1,3.0
378,2021-10-12,20:45,WCQ,First round,Tue,Home,W,3,1,Azerbaijan,57.0,5890.0,Matija Nastasić,3-4-1-2,Erik Lambrechts,Match Report,,22.0,11.0,2,2,0.0,0,Serbia,,,1,3.0
169,2021-10-12,20:45,WCQ,First round,Tue,Home,W,3,1,Azerbaijan,57.0,5890.0,Matija Nastasić,3-4-1-2,Erik Lambrechts,Match Report,,22.0,11.0,2,2,0.0,0,Serbia,,,1,3.0
269,2021-10-12,19:45,WCQ,First round,Tue,Home,W,5,0,Luxembourg,55.0,18553.0,Cristiano Ronaldo,4-3-3,Benoît Bastien,Match Report,,21.0,11.0,2,2,2.0,1,Portugal,,,1,3.0
285,2021-10-12,21:45,WCQ,First round,Tue,Away,W,4,0,Lithuania,70.0,1806.0,Xherdan Shaqiri,4-2-3-1,Tiago Martins,Match Report,,22.0,11.0,0,0,0.0,1,Switzerland,,,2,3.0
316,2021-10-12,20:45,WCQ,First round,Tue,Away,W,1.0,0.0,Albania,60.0,21000.0,Robert Lewandowski,4-4-2,Clément Turpin,Match Report,,5.0,2.0,0,0,1.0,1,Poland,,,2,3.0
153,2021-10-12,21:45,WCQ,First round,Tue,Away,W,4,0,Lithuania,70.0,1806.0,Xherdan Shaqiri,4-2-3-1,Tiago Martins,Match Report,,22.0,11.0,0,0,0.0,1,Switzerland,,,2,3.0
24,2021-10-12,19:45,WCQ,First round,Tue,Home,D,1,1,Hungary,64.0,69380.0,Harry Kane,4-3-3,Alejandro Hernández,Match Report,,11.0,5.0,0,0,0.0,0,England,,,1,2.0
41,2021-10-12,20:45,WCQ,First round,Tue,Away,W,1.0,0.0,Albania,60.0,21000.0,Robert Lewandowski,4-4-2,Clément Turpin,Match Report,,5.0,2.0,0,0,1.0,1,Poland,,,2,3.0
218,2021-11-11,20:45,WCQ,First round,Thu,Away,W,7,1,Malta,67.0,4581.0,Luka Modrić,4-3-3,Deniz Aytekin,Match Report,,20.0,12.0,0,0,0.0,0,Croatia,,,2,3.0
270,2021-11-11,19:45,WCQ,First round,Thu,Away,D,0,0,Rep. of Ireland,51.0,50737.0,Cristiano Ronaldo,4-3-3,Jesús Gil,Match Report,,12.0,3.0,0,0,2.0,1,Portugal,,,2,2.0
183,2021-11-11,19:45,WCQ,First round,Thu,Away,D,0,0,Rep. of Ireland,51.0,50737.0,Cristiano Ronaldo,4-3-3,Jesús Gil,Match Report,,12.0,3.0,0,0,2.0,1,Portugal,,,2,2.0
122,2021-11-11,20:45,WCQ,First round,Thu,Away,W,7,1,Malta,67.0,4581.0,Luka Modrić,4-3-3,Deniz Aytekin,Match Report,,20.0,12.0,0,0,0.0,0,Croatia,,,2,3.0
301,2021-11-11,21:45,WCQ,First round,Thu,Away,W,1,0,Greece,73.0,7825.0,Koke,4-3-3,Szymon Marciniak,Match Report,,12.0,3.0,1,1,1.0,1,Spain,,,2,3.0
335,2021-11-11,20:45,WCQ,First round,Thu,Home,W,9,0,Liechtenstein,82.0,25984.0,Manuel Neuer,4-2-3-1,Ivana Martinčić,Match Report,,42.0,23.0,1,1,0.0,1,Germany,,,1,3.0
90,2021-11-11,21:45,WCQ,First round,Thu,Away,W,1,0,Greece,73.0,7825.0,Koke,4-3-3,Szymon Marciniak,Match Report,,12.0,3.0,1,1,1.0,1,Spain,,,2,3.0
106,2021-11-11,20:45,WCQ,First round,Thu,Home,W,9,0,Liechtenstein,82.0,25984.0,Manuel Neuer,4-2-3-1,Ivana Martinčić,Match Report,,42.0,23.0,1,1,0.0,1,Germany,,,1,3.0
255,2021-11-12,19:45,WCQ,First round,Fri,Home,W,5,0,Albania,64.0,80366.0,Harry Kane,3-4-3,Ruddy Buquet,Match Report,,15.0,6.0,0,0,4.0,1,England,,,1,3.0
77,2021-11-12,20:45,WCQ,First round,Fri,Home,W,3,1,Faroe Islands,68.0,35531.0,Simon Kjær,3-4-3,Radu Petrescu,Match Report,,19.0,4.0,0,0,1.0,0,Denmark,,,1,3.0
25,2021-11-12,19:45,WCQ,First round,Fri,Home,W,5,0,Albania,64.0,80366.0,Harry Kane,3-4-3,Ruddy Buquet,Match Report,,15.0,6.0,0,0,4.0,1,England,,,1,3.0
42,2021-11-12,20:45,WCQ,First round,Fri,Away,W,4.0,1.0,Andorra,79.0,1049.0,Robert Lewandowski,3-4-1-2,John Beaton,Match Report,,18.0,8.0,0,0,0.0,0,Poland,,,2,3.0
365,2021-11-12,20:45,WCQ,First round,Fri,Home,W,3,1,Faroe Islands,68.0,35531.0,Simon Kjær,3-4-3,Radu Petrescu,Match Report,,19.0,4.0,0,0,1.0,0,Denmark,,,1,3.0
154,2021-11-12,20:45,WCQ,First round,Fri,Away,D,1,1,Italy,36.0,45699.0,Xherdan Shaqiri,4-2-3-1,Anthony Taylor,Match Report,,10.0,2.0,0,0,3.0,0,Switzerland,,,2,2.0
286,2021-11-12,20:45,WCQ,First round,Fri,Away,D,1,1,Italy,36.0,45699.0,Xherdan Shaqiri,4-2-3-1,Anthony Taylor,Match Report,,10.0,2.0,0,0,3.0,0,Switzerland,,,2,2.0
317,2021-11-12,20:45,WCQ,First round,Fri,Away,W,4.0,1.0,Andorra,79.0,1049.0,Robert Lewandowski,3-4-1-2,John Beaton,Match Report,,18.0,8.0,0,0,0.0,0,Poland,,,2,3.0
8,2021-11-13,20:45,WCQ,First round,Sat,Away,D,2,2,Montenegro,74.0,1844.0,Virgil van Dijk,4-3-3,Carlos del Cerro,Match Report,,9.0,3.0,1,1,1.0,0,Netherlands,,,2,2.0
238,2021-11-13,20:45,WCQ,First round,Sat,Away,D,2,2,Montenegro,74.0,1844.0,Virgil van Dijk,4-3-3,Carlos del Cerro,Match Report,,9.0,3.0,1,1,1.0,0,Netherlands,,,2,2.0
58,2021-11-13,20:45,WCQ,First round,Sat,Home,W,8,0,Kazakhstan,66.0,45551.0,Hugo Lloris,3-4-1-2,Glenn Nyberg,Match Report,,20.0,14.0,1,1,3.0,1,France,,,1,3.0
199,2021-11-13,20:45,WCQ,First round,Sat,Home,W,8,0,Kazakhstan,66.0,45551.0,Hugo Lloris,3-4-1-2,Glenn Nyberg,Match Report,,20.0,14.0,1,1,3.0,1,France,,,1,3.0
140,2021-11-13,20:45,WCQ,First round,Sat,Home,W,3,1,Estonia,81.0,29895.0,Eden Hazard,3-4-3,Halil Umut Meler,Match Report,,20.0,10.0,0,0,4.0,0,Belgium,,,1,3.0
349,2021-11-13,20:45,WCQ,First round,Sat,Home,W,3,1,Estonia,81.0,29895.0,Eden Hazard,3-4-3,Halil Umut Meler,Match Report,,20.0,10.0,0,0,4.0,0,Belgium,,,1,3.0
184,2021-11-14,19:45,WCQ,First round,Sun,Home,L,1,2,Serbia,43.0,58873.0,Cristiano Ronaldo,4-3-3,Daniele Orsato,Match Report,,9.0,3.0,0,0,1.0,0,Portugal,,,1,1.0
336,2021-11-14,21:00,WCQ,First round,Sun,Away,W,4,1,Armenia,75.0,7200.0,Thomas Müller,3-5-2,François Letexier,Match Report,,20.0,9.0,1,1,0.0,0,Germany,,,2,3.0
91,2021-11-14,20:45,WCQ,First round,Sun,Home,W,1,0,Sweden,72.0,51844.0,Sergio Busquets,4-3-3,Felix Brych,Match Report,,12.0,4.0,0,0,0.0,1,Spain,,,1,3.0
271,2021-11-14,19:45,WCQ,First round,Sun,Home,L,1,2,Serbia,43.0,58873.0,Cristiano Ronaldo,4-3-3,Daniele Orsato,Match Report,,9.0,3.0,0,0,1.0,0,Portugal,,,1,1.0
379,2021-11-14,19:45,WCQ,First round,Sun,Away,W,2,1,Portugal,57.0,58873.0,Dušan Tadić,3-5-1-1,Daniele Orsato,Match Report,,11.0,3.0,0,0,2.0,0,Serbia,,,2,3.0
219,2021-11-14,15:00,WCQ,First round,Sun,Home,W,1,0,Russia,68.0,30257.0,Luka Modrić,4-3-3,Danny Makkelie,Match Report,,19.0,5.0,0,0,0.0,1,Croatia,,,1,3.0
302,2021-11-14,20:45,WCQ,First round,Sun,Home,W,1,0,Sweden,72.0,51844.0,Sergio Busquets,4-3-3,Felix Brych,Match Report,,12.0,4.0,0,0,0.0,1,Spain,,,1,3.0
123,2021-11-14,15:00,WCQ,First round,Sun,Home,W,1,0,Russia,68.0,30257.0,Luka Modrić,4-3-3,Danny Makkelie,Match Report,,19.0,5.0,0,0,0.0,1,Croatia,,,1,3.0
170,2021-11-14,19:45,WCQ,First round,Sun,Away,W,2,1,Portugal,57.0,58873.0,Dušan Tadić,3-5-1-1,Daniele Orsato,Match Report,,11.0,3.0,0,0,2.0,0,Serbia,,,2,3.0
107,2021-11-14,21:00,WCQ,First round,Sun,Away,W,4,1,Armenia,75.0,7200.0,Thomas Müller,3-5-2,François Letexier,Match Report,,20.0,9.0,1,1,0.0,0,Germany,,,2,3.0
287,2021-11-15,20:45,WCQ,First round,Mon,Home,W,4,0,Bulgaria,69.0,,Xherdan Shaqiri,4-2-3-1,Benoît Bastien,Match Report,,18.0,9.0,0,0,0.0,1,Switzerland,,,1,3.0
256,2021-11-15,20:45,WCQ,First round,Mon,Away,W,10,0,San Marino,85.0,,Harry Kane,4-3-3,Rade Obrenović,Match Report,,22.0,13.0,2,2,1.0,1,England,,,2,3.0
43,2021-11-15,20:45,WCQ,First round,Mon,Home,L,1.0,2.0,Hungary,63.0,,Wojciech Szczęsny,4-4-2,Tiago Martins,Match Report,,15.0,6.0,0,0,2.0,0,Poland,,,1,1.0
155,2021-11-15,20:45,WCQ,First round,Mon,Home,W,4,0,Bulgaria,69.0,,Xherdan Shaqiri,4-2-3-1,Benoît Bastien,Match Report,,18.0,9.0,0,0,0.0,1,Switzerland,,,1,3.0
78,2021-11-15,19:45,WCQ,First round,Mon,Away,L,0,2,Scotland,59.0,,Simon Kjær,4-3-3,Alejandro Hernández,Match Report,,10.0,2.0,0,0,2.0,0,Denmark,,,2,1.0
26,2021-11-15,20:45,WCQ,First round,Mon,Away,W,10,0,San Marino,85.0,,Harry Kane,4-3-3,Rade Obrenović,Match Report,,22.0,13.0,2,2,1.0,1,England,,,2,3.0
366,2021-11-15,19:45,WCQ,First round,Mon,Away,L,0,2,Scotland,59.0,,Simon Kjær,4-3-3,Alejandro Hernández,Match Report,,10.0,2.0,0,0,2.0,0,Denmark,,,2,1.0
318,2021-11-15,20:45,WCQ,First round,Mon,Home,L,1.0,2.0,Hungary,63.0,,Wojciech Szczęsny,4-4-2,Tiago Martins,Match Report,,15.0,6.0,0,0,2.0,0,Poland,,,1,1.0
9,2021-11-16,20:45,WCQ,First round,Tue,Home,W,2,0,Norway,65.0,,Virgil van Dijk,4-3-3,Clément Turpin,Match Report,,10.0,5.0,0,0,0.0,1,Netherlands,,,1,3.0
141,2021-11-16,19:45,WCQ,First round,Tue,Away,D,1,1,Wales,76.0,32343.0,Kevin De Bruyne,3-4-3,Artur Dias,Match Report,,16.0,4.0,0,0,2.0,0,Belgium,,,2,2.0
200,2021-11-16,21:45,WCQ,First round,Tue,Away,W,2,0,Finland,53.0,31890.0,Hugo Lloris,3-4-3,Marco Guida,Match Report,,8.0,5.0,0,0,1.0,1,France,,,2,3.0
239,2021-11-16,20:45,WCQ,First round,Tue,Home,W,2,0,Norway,65.0,,Virgil van Dijk,4-3-3,Clément Turpin,Match Report,,10.0,5.0,0,0,0.0,1,Netherlands,,,1,3.0
350,2021-11-16,19:45,WCQ,First round,Tue,Away,D,1,1,Wales,76.0,32343.0,Kevin De Bruyne,3-4-3,Artur Dias,Match Report,,16.0,4.0,0,0,2.0,0,Belgium,,,2,2.0
59,2021-11-16,21:45,WCQ,First round,Tue,Away,W,2,0,Finland,53.0,31890.0,Hugo Lloris,3-4-3,Marco Guida,Match Report,,8.0,5.0,0,0,1.0,1,France,,,2,3.0
185,2022-03-24,19:45,WCQ,Semi-finals,Thu,Home,W,3,1,Türkiye,60.0,48010.0,Cristiano Ronaldo,4-3-3,Daniel Siebert,Match Report,,16.0,8.0,0,0,4.0,0,Portugal,,,1,3.0
44,2022-03-24,20:00,WCQ,Semi-finals,Thu,Away,,,,Russia,,,,,,Match Report,Match Cancelled,,,1,1,,0,Poland,,,2,
319,2022-03-24,20:00,WCQ,Semi-finals,Thu,Away,,,,Russia,,,,,,Match Report,Match Cancelled,,,1,1,,0,Poland,,,2,
272,2022-03-24,19:45,WCQ,Semi-finals,Thu,Home,W,3,1,Türkiye,60.0,48010.0,Cristiano Ronaldo,4-3-3,Daniel Siebert,Match Report,,16.0,8.0,0,0,4.0,0,Portugal,,,1,3.0
46,2022-03-29,20:45,WCQ,Finals,Tue,Home,W,2.0,0.0,Sweden,39.0,54078.0,Robert Lewandowski,3-4-3,Daniele Orsato,Match Report,,10.0,8.0,1,1,6.0,1,Poland,,,1,3.0
273,2022-03-29,19:45,WCQ,Finals,Tue,Home,W,2,0,N. Macedonia,64.0,48010.0,Cristiano Ronaldo,4-3-3,Anthony Taylor,Match Report,,11.0,3.0,0,0,0.0,1,Portugal,,,1,3.0
321,2022-03-29,20:45,WCQ,Finals,Tue,Home,W,2.0,0.0,Sweden,39.0,54078.0,Robert Lewandowski,3-4-3,Daniele Orsato,Match Report,,10.0,8.0,1,1,6.0,1,Poland,,,1,3.0
186,2022-03-29,19:45,WCQ,Finals,Tue,Home,W,2,0,N. Macedonia,64.0,48010.0,Cristiano Ronaldo,4-3-3,Anthony Taylor,Match Report,,11.0,3.0,0,0,0.0,1,Portugal,,,1,3.0
132,2022-06-01,18:00,UEFA Nations League,League A,Wed,Home,W,2,1,Wales,55.0,35214.0,Robert Lewandowski,4-3-1-2,Rade Obrenović,Match Report,,15.0,3.0,0,0,1.0,0,Poland,,,1,3.0
72,2022-06-02,20:45,UEFA Nations League,League A,Thu,Home,D,1,1,Portugal,61.0,41236.0,Sergio Busquets,4-3-3,Michael Oliver,Match Report,,11.0,2.0,0,0,1.0,0,Spain,,,1,2.0
86,2022-06-02,20:45,UEFA Nations League,League A,Thu,Away,L,1,2,Czechia,62.0,12236.0,Granit Xhaka,4-4-2,Daniel Siebert,Match Report,,15.0,7.0,0,0,2.0,0,Switzerland,,,2,1.0
80,2022-06-02,20:45,UEFA Nations League,League A,Thu,Away,D,1,1,Spain,40.0,41236.0,João Moutinho,4-3-3,Michael Oliver,Match Report,,7.0,2.0,0,0,1.0,0,Portugal,,,2,2.0
34,2022-06-02,20:45,UEFA Nations League,League B,Thu,Home,L,0,1,Norway,67.0,9726.0,Dušan Tadić,3-4-3,Paweł Raczkowski,Match Report,,13.0,5.0,0,0,1.0,0,Serbia,,,1,1.0
6,2022-06-02,20:00,UEFA Nations League,League C,Thu,Home,W,4,0,Gibraltar,69.0,43412.0,Guram Kashia,3-5-1-1,Morten Krogh,Match Report,,27.0,12.0,0,0,0.0,1,Georgia,,,1,3.0
40,2022-06-02,20:45,UEFA Nations League,League B,Thu,Away,W,2,0,Slovenia,47.0,5123.0,Emil Forsberg,4-4-2,Ruddy Buquet,Match Report,,10.0,4.0,1,1,3.0,1,Sweden,,,2,3.0
46,2022-06-03,20:45,UEFA Nations League,League A,Fri,Home,L,0,3,Austria,61.0,13994.0,Mateo Kovačić,4-1-4-1,Chris Kavanagh,Match Report,,13.0,3.0,0,0,6.0,0,Croatia,,,1,1.0
60,2022-06-03,20:45,UEFA Nations League,League A,Fri,Home,L,1,2,Denmark,60.0,75833.0,Hugo Lloris,3-5-2,Felix Zwayer,Match Report,,19.0,6.0,0,0,3.0,0,France,,,1,1.0
0,2022-06-03,20:45,UEFA Nations League,League C,Fri,Away,W,1,0,Belarus,68.0,,Milan Škriniar,4-5-1,Stéphanie Frappart,Match Report,,13.0,3.0,0,0,1.0,1,Slovakia,,,2,3.0
126,2022-06-03,20:45,UEFA Nations League,League A,Fri,Home,L,1,4,Netherlands,50.0,38327.0,Eden Hazard,3-4-3,José Sánchez,Match Report,,13.0,6.0,0,0,3.0,0,Belgium,,,1,1.0
66,2022-06-03,20:45,UEFA Nations League,League A,Fri,Away,W,3,0,Croatia,39.0,13994.0,Marko Arnautović,3-5-2,Chris Kavanagh,Match Report,,14.0,8.0,0,0,3.0,1,Austria,,,2,3.0
54,2022-06-03,20:45,UEFA Nations League,League A,Fri,Away,W,2,1,France,40.0,75833.0,Kasper Schmeichel,4-2-3-1,Felix Zwayer,Match Report,,8.0,5.0,0,0,5.0,0,Denmark,,,2,3.0
118,2022-06-03,20:45,UEFA Nations League,League A,Fri,Away,W,4,1,Belgium,50.0,38327.0,Virgil van Dijk,3-4-1-2,José Sánchez,Match Report,,15.0,7.0,0,0,5.0,0,Netherlands,,,2,3.0
100,2022-06-04,18:00,UEFA Nations League,League A,Sat,Home,W,1,0,England,42.0,26935.0,Ádám Szalai,3-4-3,Artur Dias,Match Report,,11.0,6.0,1,1,4.0,1,Hungary,,,1,3.0
28,2022-06-04,20:45,UEFA Nations League,League B,Sat,Away,L,0,2,Montenegro,56.0,3998.0,Vlad Chiricheș,4-3-3,Andreas Ekberg,Match Report,,7.0,1.0,0,0,3.0,0,Romania,,,2,1.0
112,2022-06-04,18:00,UEFA Nations League,League A,Sat,Away,L,0,1,Hungary,58.0,26935.0,Harry Kane,3-4-3,Artur Dias,Match Report,,12.0,4.0,0,0,4.0,0,England,,,2,1.0
