,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation,xG,xGA,Venue Num,target
292,2022-11-28,19:00,World Cup,Group stage,Mon,Neutral,L,0,1,Brazil,46.0,43649.0,Granit Xhaka,4-2-3-1,Iván Barton,Match Report,,6.0,0.0,0,0,4.0,0,Switzerland,0.3,1.0,3,1.0
384,2022-11-28,13:00,World Cup,Group stage,Mon,Neutral,D,3,3,Cameroon,59.0,39789.0,Dušan Tadić,3-4-3,Mohammed Abdulla Hassan,Match Report,,15.0,5.0,0,0,5.0,0,Serbia,1.9,2.2,3,2.0
276,2022-11-28,22:00,World Cup,Group stage,Mon,Neutral,W,2,0,Uruguay,59.0,88668.0,Cristiano Ronaldo,4-1-2-1-2◆,Alireza Faghani,Match Report,,14.0,2.0,1,1,3.0,1,Portugal,1.3,1.3,3,3.0
14,2022-11-29,18:00,World Cup,Group stage,Tue,Neutral,W,2,0,Qatar,63.0,66784.0,Virgil van Dijk,3-4-1-2,Bakary Papa Gassama,Match Report,,13.0,4.0,0,0,3.0,1,Netherlands,1.6,0.1,3,3.0
31,2022-11-29,22:00,World Cup,Group stage,Tue,Neutral,W,3,0,Wales,64.0,44297.0,Harry Kane,4-3-3,Slavko Vinčič,Match Report,,18.0,7.0,0,0,1.0,1,England,2.4,0.3,3,3.0
244,2022-11-29,18:00,World Cup,Group stage,Tue,Neutral,W,2,0,Qatar,63.0,66784.0,Virgil van Dijk,3-4-1-2,Bakary Papa Gassama,Match Report,,13.0,4.0,0,0,3.0,1,Netherlands,1.6,0.1,3,3.0
261,2022-11-29,22:00,World Cup,Group stage,Tue,Neutral,W,3,0,Wales,64.0,44297.0,Harry Kane,4-3-3,Slavko Vinčič,Match Report,,18.0,7.0,0,0,1.0,1,England,2.4,0.3,3,3.0
325,2022-11-30,22:00,World Cup,Group stage,Wed,Neutral,L,0.0,2.0,Argentina,27.0,44089.0,Robert Lewandowski,4-4-2,Danny Makkelie,Match Report,,4.0,0.0,0,0,8.0,0,Poland,0.3,3.5,3,1.0
205,2022-11-30,18:00,World Cup,Group stage,Wed,Neutral,L,0,1,Tunisia,65.0,43627.0,Raphaël Varane,4-3-3,Matt Conger,Match Report,,10.0,3.0,0,0,2.0,0,France,0.8,0.5,3,1.0
50,2022-11-30,22:00,World Cup,Group stage,Wed,Neutral,L,0.0,2.0,Argentina,27.0,44089.0,Robert Lewandowski,4-4-2,Danny Makkelie,Match Report,,4.0,0.0,0,0,8.0,0,Poland,0.3,3.5,3,1.0
64,2022-11-30,18:00,World Cup,Group stage,Wed,Neutral,L,0,1,Tunisia,65.0,43627.0,Raphaël Varane,4-3-3,Matt Conger,Match Report,,10.0,3.0,0,0,2.0,0,France,0.8,0.5,3,1.0
83,2022-11-30,18:00,World Cup,Group stage,Wed,Neutral,L,0,1,Australia,68.0,41232.0,Christian Eriksen,4-3-3,Mustapha Ghorbal,Match Report,,13.0,3.0,0,0,3.0,0,Denmark,0.6,0.6,3,1.0
371,2022-11-30,18:00,World Cup,Group stage,Wed,Neutral,L,0,1,Australia,68.0,41232.0,Christian Eriksen,4-3-3,Mustapha Ghorbal,Match Report,,13.0,3.0,0,0,3.0,0,Denmark,0.6,0.6,3,1.0
129,2022-12-01,18:00,World Cup,Group stage,Thu,Neutral,D,0,0,Belgium,49.0,43984.0,Luka Modrić,4-3-3,Anthony Taylor,Match Report,,11.0,4.0,0,0,3.0,1,Croatia,0.7,3.0,3,2.0
113,2022-12-01,22:00,World Cup,Group stage,Thu,Neutral,W,4,2,Costa Rica,68.0,67054.0,Manuel Neuer,4-2-3-1,Stéphanie Frappart,Match Report,,32.0,11.0,0,0,4.0,0,Germany,5.7,1.3,3,3.0
342,2022-12-01,22:00,World Cup,Group stage,Thu,Neutral,W,4,2,Costa Rica,68.0,67054.0,Manuel Neuer,4-2-3-1,Stéphanie Frappart,Match Report,,32.0,11.0,0,0,4.0,0,Germany,5.7,1.3,3,3.0
96,2022-12-01,22:00,World Cup,Group stage,Thu,Neutral,L,1,2,Japan,82.0,44851.0,Sergio Busquets,4-3-3,Victor Gomes,Match Report,,12.0,5.0,0,0,1.0,0,Spain,1.0,1.4,3,1.0
356,2022-12-01,18:00,World Cup,Group stage,Thu,Neutral,D,0,0,Croatia,51.0,43984.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,,16.0,3.0,0,0,4.0,1,Belgium,3.0,0.7,3,2.0
147,2022-12-01,18:00,World Cup,Group stage,Thu,Neutral,D,0,0,Croatia,51.0,43984.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,,16.0,3.0,0,0,4.0,1,Belgium,3.0,0.7,3,2.0
307,2022-12-01,22:00,World Cup,Group stage,Thu,Neutral,L,1,2,Japan,82.0,44851.0,Sergio Busquets,4-3-3,Victor Gomes,Match Report,,12.0,5.0,0,0,1.0,0,Spain,1.0,1.4,3,1.0
225,2022-12-01,18:00,World Cup,Group stage,Thu,Neutral,D,0,0,Belgium,49.0,43984.0,Luka Modrić,4-3-3,Anthony Taylor,Match Report,,11.0,4.0,0,0,3.0,1,Croatia,0.7,3.0,3,2.0
293,2022-12-02,22:00,World Cup,Group stage,Fri,Neutral,W,3,2,Serbia,46.0,41378.0,Granit Xhaka,4-2-3-1,Fernando Rapallini,Match Report,,14.0,7.0,0,0,2.0,0,Switzerland,2.7,1.3,3,3.0
176,2022-12-02,22:00,World Cup,Group stage,Fri,Neutral,L,2,3,Switzerland,54.0,41378.0,Dušan Tadić,3-4-1-2,Fernando Rapallini,Match Report,,12.0,4.0,0,0,4.0,0,Serbia,1.3,2.7,3,1.0
277,2022-12-02,18:00,World Cup,Group stage,Fri,Neutral,L,1,2,Korea Republic,61.0,44097.0,Cristiano Ronaldo,4-3-3,Facundo Tello,Match Report,,13.0,6.0,0,0,4.0,0,Portugal,1.3,1.7,3,1.0
190,2022-12-02,18:00,World Cup,Group stage,Fri,Neutral,L,1,2,Korea Republic,61.0,44097.0,Cristiano Ronaldo,4-3-3,Facundo Tello,Match Report,,13.0,6.0,0,0,4.0,0,Portugal,1.3,1.7,3,1.0
161,2022-12-02,22:00,World Cup,Group stage,Fri,Neutral,W,3,2,Serbia,46.0,41378.0,Granit Xhaka,4-2-3-1,Fernando Rapallini,Match Report,,14.0,7.0,0,0,2.0,0,Switzerland,2.7,1.3,3,3.0
385,2022-12-02,22:00,World Cup,Group stage,Fri,Neutral,L,2,3,Switzerland,54.0,41378.0,Dušan Tadić,3-4-1-2,Fernando Rapallini,Match Report,,12.0,4.0,0,0,4.0,0,Serbia,1.3,2.7,3,1.0
245,2022-12-03,18:00,World Cup,Round of 16,Sat,Neutral,W,3,1,United States,42.0,44846.0,Virgil van Dijk,3-4-1-2,Wilton Sampaio,Match Report,,11.0,6.0,0,0,5.0,0,Netherlands,1.7,1.5,3,3.0
15,2022-12-03,18:00,World Cup,Round of 16,Sat,Neutral,W,3,1,United States,42.0,44846.0,Virgil van Dijk,3-4-1-2,Wilton Sampaio,Match Report,,11.0,6.0,0,0,5.0,0,Netherlands,1.7,1.5,3,3.0
262,2022-12-04,22:00,World Cup,Round of 16,Sun,Neutral,W,3,0,Senegal,61.0,65985.0,Harry Kane,4-3-3,Iván Barton,Match Report,,8.0,4.0,0,0,1.0,1,England,0.9,0.7,3,3.0
206,2022-12-04,18:00,World Cup,Round of 16,Sun,Neutral,W,3,1,Poland,55.0,40989.0,Hugo Lloris,4-2-3-1,Jesús Valenzuela,Match Report,,16.0,8.0,0,0,1.0,0,France,1.4,1.7,3,3.0
326,2022-12-04,18:00,World Cup,Round of 16,Sun,Neutral,L,1.0,3.0,France,45.0,40989.0,Robert Lewandowski,4-1-4-1,Jesús Valenzuela,Match Report,,11.0,1.0,1,1,5.0,0,Poland,1.7,1.4,3,1.0
32,2022-12-04,22:00,World Cup,Round of 16,Sun,Neutral,W,3,0,Senegal,61.0,65985.0,Harry Kane,4-3-3,Iván Barton,Match Report,,8.0,4.0,0,0,1.0,1,England,0.9,0.7,3,3.0
51,2022-12-04,18:00,World Cup,Round of 16,Sun,Neutral,L,1.0,3.0,France,45.0,40989.0,Robert Lewandowski,4-1-4-1,Jesús Valenzuela,Match Report,,11.0,1.0,1,1,5.0,0,Poland,1.7,1.4,3,1.0
65,2022-12-04,18:00,World Cup,Round of 16,Sun,Neutral,W,3,1,Poland,55.0,40989.0,Hugo Lloris,4-2-3-1,Jesús Valenzuela,Match Report,,16.0,8.0,0,0,1.0,0,France,1.4,1.7,3,3.0
226,2022-12-05,18:00,World Cup,Round of 16,Mon,Neutral,D,1 (3),1 (1),Japan,58.0,42523.0,Luka Modrić,4-3-3,Ismail Elfath,Match Report,Croatia won on penalty kicks following extra time,17.0,4.0,0,0,3.0,0,Croatia,1.4,1.2,3,2.0
130,2022-12-05,18:00,World Cup,Round of 16,Mon,Neutral,D,1 (3),1 (1),Japan,58.0,42523.0,Luka Modrić,4-3-3,Ismail Elfath,Match Report,Croatia won on penalty kicks following extra time,17.0,4.0,0,0,3.0,0,Croatia,1.4,1.2,3,2.0
191,2022-12-06,22:00,World Cup,Round of 16,Tue,Neutral,W,6,1,Switzerland,47.0,83720.0,Pepe,4-3-3,César Arturo Ramos,Match Report,,15.0,9.0,0,0,1.0,0,Portugal,2.3,1.1,3,3.0
162,2022-12-06,22:00,World Cup,Round of 16,Tue,Neutral,L,1,6,Portugal,53.0,83720.0,Granit Xhaka,3-1-4-2,César Arturo Ramos,Match Report,,10.0,2.0,0,0,3.0,0,Switzerland,1.1,2.3,3,1.0
308,2022-12-06,18:00,World Cup,Round of 16,Tue,Neutral,D,0 (0),0 (3),Morocco,76.0,44667.0,Sergio Busquets,4-3-3,Fernando Rapallini,Match Report,Morocco won on penalty kicks following extra time,13.0,1.0,0,0,2.0,1,Spain,1.0,0.7,3,2.0
278,2022-12-06,22:00,World Cup,Round of 16,Tue,Neutral,W,6,1,Switzerland,47.0,83720.0,Pepe,4-3-3,César Arturo Ramos,Match Report,,15.0,9.0,0,0,1.0,0,Portugal,2.3,1.1,3,3.0
97,2022-12-06,18:00,World Cup,Round of 16,Tue,Neutral,D,0 (0),0 (3),Morocco,76.0,44667.0,Sergio Busquets,4-3-3,Fernando Rapallini,Match Report,Morocco won on penalty kicks following extra time,13.0,1.0,0,0,2.0,1,Spain,1.0,0.7,3,2.0
294,2022-12-06,22:00,World Cup,Round of 16,Tue,Neutral,L,1,6,Portugal,53.0,83720.0,Granit Xhaka,3-1-4-2,César Arturo Ramos,Match Report,,10.0,2.0,0,0,3.0,0,Switzerland,1.1,2.3,3,1.0
16,2022-12-09,22:00,World Cup,Quarter-finals,Fri,Neutral,D,2 (3),2 (4),Argentina,52.0,88235.0,Virgil van Dijk,3-4-1-2,Antonio Matéu,Match Report,Argentina won on penalty kicks following extra time,6.0,2.0,0,0,3.0,0,Netherlands,0.6,1.9,3,2.0
227,2022-12-09,18:00,World Cup,Quarter-finals,Fri,Neutral,D,1 (4),1 (2),Brazil,50.0,43893.0,Luka Modrić,4-3-3,Michael Oliver,Match Report,Croatia won on penalty kicks following extra time,9.0,1.0,0,0,10.0,0,Croatia,0.6,2.5,3,2.0
246,2022-12-09,22:00,World Cup,Quarter-finals,Fri,Neutral,D,2 (3),2 (4),Argentina,52.0,88235.0,Virgil van Dijk,3-4-1-2,Antonio Matéu,Match Report,Argentina won on penalty kicks following extra time,6.0,2.0,0,0,3.0,0,Netherlands,0.6,1.9,3,2.0
131,2022-12-09,18:00,World Cup,Quarter-finals,Fri,Neutral,D,1 (4),1 (2),Brazil,50.0,43893.0,Luka Modrić,4-3-3,Michael Oliver,Match Report,Croatia won on penalty kicks following extra time,9.0,1.0,0,0,10.0,0,Croatia,0.6,2.5,3,2.0
263,2022-12-10,22:00,World Cup,Quarter-finals,Sat,Neutral,L,1,2,France,57.0,68895.0,Harry Kane,4-3-3,Wilton Sampaio,Match Report,,14.0,6.0,1,2,3.0,0,England,2.4,0.9,3,1.0
207,2022-12-10,22:00,World Cup,Quarter-finals,Sat,Neutral,W,2,1,England,43.0,68895.0,Hugo Lloris,4-2-3-1,Wilton Sampaio,Match Report,,8.0,5.0,0,0,6.0,0,France,0.9,2.4,3,3.0
