,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
38,2021-09-05,20:45,WCQ,First round,Sun,Away,W,7.0,1.0,sm San Marino,,,76.0,500.0,Robert Lewandowski,4-4-2,Mattias Gestranius,Match Report,,24.0,11.0,0,0,2.0,0,Poland
39,2021-09-08,20:45,WCQ,First round,Wed,Home,D,1.0,1.0,eng England,,,37.0,56212.0,Robert Lewandowski,4-4-2,Daniel Siebert,Match Report,,11.0,4.0,0,0,1.0,0,Poland
40,2021-10-09,20:45,WCQ,First round,Sat,Home,W,5.0,0.0,sm San Marino,,,83.0,56128.0,Robert Lewandowski,4-4-2,Fran Jović,Match Report,,31.0,12.0,0,0,1.0,2,Poland
41,2021-10-12,20:45,WCQ,First round,Tue,Away,W,1.0,0.0,al Albania,,,60.0,21000.0,Robert Lewandowski,4-4-2,Clément Turpin,Match Report,,5.0,2.0,0,0,1.0,1,Poland
42,2021-11-12,20:45,WCQ,First round,Fri,Away,W,4.0,1.0,ad Andorra,,,79.0,1049.0,Robert Lewandowski,3-4-1-2,John Beaton,Match Report,,18.0,8.0,0,0,0.0,0,Poland
43,2021-11-15,20:45,WCQ,First round,Mon,Home,L,1.0,2.0,hu Hungary,,,63.0,,Wojciech Szczęsny,4-4-2,Tiago Martins,Match Report,,15.0,6.0,0,0,2.0,0,Poland
44,2022-03-24,20:00,WCQ,Semi-finals,Thu,Away,,,,ru Russia,,,,,,,,Match Report,Match Cancelled,,,1,1,,0,Poland
45,2022-03-24,19:45,Friendlies (M),Friendlies (M),Thu,Neutral,D,1.0,1.0,sct Scotland,,,,,Kamil Glik,3-4-3,Robert Hennessy,Match Report,,,,1,1,,0,Poland
46,2022-03-29,20:45,WCQ,Finals,Tue,Home,W,2.0,0.0,se Sweden,,,39.0,54078.0,Robert Lewandowski,3-4-3,Daniele Orsato,Match Report,,10.0,8.0,1,1,6.0,1,Poland
47,2022-11-16,18:00,Friendlies (M),Friendlies (M),Wed,Neutral,W,1.0,0.0,cl Chile,,,,27968.0,Kamil Glik,3-5-2,Harm Osmers,Match Report,,,,0,0,,1,Poland
48,2022-11-22,19:00,World Cup,Group stage,Tue,Neutral,D,0.0,0.0,mx Mexico,0.9,0.7,40.0,39369.0,Robert Lewandowski,4-1-4-1,Chris Beath,Match Report,,5.0,1.0,0,1,4.0,1,Poland
49,2022-11-26,16:00,World Cup,Group stage,Sat,Neutral,W,2.0,0.0,sa Saudi Arabia,1.6,1.7,37.0,44259.0,Robert Lewandowski,4-4-2,Wilton Sampaio,Match Report,,9.0,3.0,0,0,4.0,1,Poland
50,2022-11-30,22:00,World Cup,Group stage,Wed,Neutral,L,0.0,2.0,ar Argentina,0.3,3.5,27.0,44089.0,Robert Lewandowski,4-4-2,Danny Makkelie,Match Report,,4.0,0.0,0,0,8.0,0,Poland
51,2022-12-04,18:00,World Cup,Round of 16,Sun,Neutral,L,1.0,3.0,fr France,1.7,1.4,45.0,40989.0,Robert Lewandowski,4-1-4-1,Jesús Valenzuela,Match Report,,11.0,1.0,1,1,5.0,0,Poland
52,2021-03-24,20:45,WCQ,First round,Wed,Home,D,1,1,ua Ukraine,,,63.0,,Hugo Lloris,4-2-2-2,Tobias Stieler,Match Report,,18.0,3.0,0,0,0.0,0,France
53,2021-03-28,19:00,WCQ,First round,Sun,Away,W,2,0,kz Kazakhstan,,,63.0,,Hugo Lloris,4-2-3-1,Aliaksei Kulbakou,Match Report,,15.0,9.0,0,1,0.0,1,France
54,2021-03-31,20:45,WCQ,First round,Wed,Away,W,1,0,ba Bosnia & Herz'na,,,56.0,,Hugo Lloris,4-4-2,Daniele Orsato,Match Report,,13.0,2.0,0,0,2.0,1,France
55,2021-09-01,20:45,WCQ,First round,Wed,Home,D,1,1,ba Bosnia & Herz'na,,,54.0,21754.0,Hugo Lloris,4-3-3,Sandro Schärer,Match Report,,9.0,2.0,0,0,1.0,0,France
56,2021-09-04,21:45,WCQ,First round,Sat,Away,D,1,1,ua Ukraine,,,62.0,48000.0,Hugo Lloris,4-4-2,Slavko Vinčič,Match Report,,16.0,5.0,0,0,2.0,0,France
57,2021-09-07,20:45,WCQ,First round,Tue,Home,W,2,0,fi Finland,,,64.0,57057.0,Hugo Lloris,5-2-1-2,Deniz Aytekin,Match Report,,20.0,6.0,0,0,1.0,1,France
58,2021-11-13,20:45,WCQ,First round,Sat,Home,W,8,0,kz Kazakhstan,,,66.0,45551.0,Hugo Lloris,3-4-1-2,Glenn Nyberg,Match Report,,20.0,14.0,1,1,3.0,1,France
59,2021-11-16,21:45,WCQ,First round,Tue,Away,W,2,0,fi Finland,,,53.0,31890.0,Hugo Lloris,3-4-3,Marco Guida,Match Report,,8.0,5.0,0,0,1.0,1,France
60,2022-03-25,21:15,Friendlies (M),Friendlies (M),Fri,Neutral,W,2,1,ci Côte d'Ivoire,,,,62510.0,Hugo Lloris,3-4-1-2,Vitor Ferreira Fernandes,Match Report,,,,0,0,,0,France
61,2022-03-29,21:15,Friendlies (M),Friendlies (M),Tue,Neutral,W,5,0,za South Africa,,,,48120.0,Raphaël Varane,3-4-1-2,Sandro Schärer,Match Report,,,,1,1,,1,France
62,2022-11-22,22:00,World Cup,Group stage,Tue,Neutral,W,4,1,au Australia,4.0,0.5,62.0,40875.0,Hugo Lloris,4-2-3-1,Victor Gomes,Match Report,,23.0,6.0,0,0,0.0,0,France
63,2022-11-26,19:00,World Cup,Group stage,Sat,Neutral,W,2,1,dk Denmark,2.4,0.6,49.0,42860.0,Hugo Lloris,4-2-3-1,Szymon Marciniak,Match Report,,21.0,6.0,0,0,1.0,0,France
64,2022-11-30,18:00,World Cup,Group stage,Wed,Neutral,L,0,1,tn Tunisia,0.8,0.5,65.0,43627.0,Raphaël Varane,4-3-3,Matt Conger,Match Report,,10.0,3.0,0,0,2.0,0,France
65,2022-12-04,18:00,World Cup,Round of 16,Sun,Neutral,W,3,1,pl Poland,1.4,1.7,55.0,40989.0,Hugo Lloris,4-2-3-1,Jesús Valenzuela,Match Report,,16.0,8.0,0,0,1.0,0,France
66,2022-12-10,22:00,World Cup,Quarter-finals,Sat,Neutral,W,2,1,eng England,0.9,2.4,43.0,68895.0,Hugo Lloris,4-2-3-1,Wilton Sampaio,Match Report,,8.0,5.0,0,0,6.0,0,France
67,2022-12-14,22:00,World Cup,Semi-finals,Wed,Neutral,W,2,0,ma Morocco,2.0,0.9,39.0,68294.0,Hugo Lloris,4-2-3-1,César Arturo Ramos,Match Report,,14.0,2.0,0,0,2.0,1,France
68,2022-12-18,18:00,World Cup,Final,Sun,Neutral,D,3 (2),3 (4),ar Argentina,2.2,3.2,46.0,88966.0,Hugo Lloris,4-2-3-1,Szymon Marciniak,Match Report,Argentina won on penalty kicks following extra time,8.0,3.0,2,2,7.0,0,France
69,2021-03-25,19:00,WCQ,First round,Thu,Away,W,2,0,il Israel,,,50.0,5000.0,Simon Kjær,4-2-3-1,Craig Pawson,Match Report,,14.0,7.0,0,0,2.0,1,Denmark
70,2021-03-28,18:00,WCQ,First round,Sun,Home,W,8,0,md Moldova,,,75.0,,Kasper Schmeichel,4-3-3,Aghayev Aliyev,Match Report,,18.0,11.0,1,1,2.0,1,Denmark
71,2021-03-31,20:45,WCQ,First round,Wed,Away,W,4,0,at Austria,,,48.0,,Simon Kjær,4-4-1-1,Artur Dias,Match Report,,11.0,6.0,0,0,0.0,1,Denmark
72,2021-09-01,20:45,WCQ,First round,Wed,Home,W,2,0,sct Scotland,,,61.0,34562.0,Simon Kjær,4-3-3,Ovidiu Hațegan,Match Report,,11.0,5.0,0,0,2.0,1,Denmark
73,2021-09-04,19:45,WCQ,First round,Sat,Away,W,1,0,fo Faroe Islands,,,80.0,4620.0,Kasper Schmeichel,3-4-3,Fran Jović,Match Report,,19.0,8.0,0,0,3.0,1,Denmark
74,2021-09-07,20:45,WCQ,First round,Tue,Home,W,5,0,il Israel,,,62.0,35158.0,Simon Kjær,4-3-3,Tobias Stieler,Match Report,,15.0,10.0,0,0,0.0,1,Denmark
75,2021-10-09,21:45,WCQ,First round,Sat,Away,W,4,0,md Moldova,,,69.0,2642.0,Simon Kjær,3-4-3,João Pinheiro,Match Report,,21.0,10.0,1,1,0.0,1,Denmark
76,2021-10-12,20:45,WCQ,First round,Tue,Home,W,1,0,at Austria,,,49.0,35843.0,Simon Kjær,3-4-3,Ivan Kružliak,Match Report,,9.0,4.0,0,0,0.0,1,Denmark
77,2021-11-12,20:45,WCQ,First round,Fri,Home,W,3,1,fo Faroe Islands,,,68.0,35531.0,Simon Kjær,3-4-3,Radu Petrescu,Match Report,,19.0,4.0,0,0,1.0,0,Denmark
78,2021-11-15,19:45,WCQ,First round,Mon,Away,L,0,2,sct Scotland,,,59.0,,Simon Kjær,4-3-3,Alejandro Hernández,Match Report,,10.0,2.0,0,0,2.0,0,Denmark
79,2022-03-26,20:45,Friendlies (M),Friendlies (M),Sat,Neutral,L,2,4,nl Netherlands,,,,,Kasper Schmeichel,3-4-3,Lawrence Visser,Match Report,,,,0,0,,0,Denmark
80,2022-03-29,18:00,Friendlies (M),Friendlies (M),Tue,Neutral,W,3,0,rs Serbia,,,,,Christian Eriksen,4-3-3,Felix Zwayer,Match Report,,,,0,0,,1,Denmark
81,2022-11-22,16:00,World Cup,Group stage,Tue,Neutral,D,0,0,tn Tunisia,1.4,0.9,61.0,42925.0,Simon Kjær,3-5-2,César Arturo Ramos,Match Report,,11.0,5.0,0,0,1.0,1,Denmark
82,2022-11-26,19:00,World Cup,Group stage,Sat,Neutral,L,1,2,fr France,0.6,2.4,51.0,42860.0,Kasper Schmeichel,3-4-3,Szymon Marciniak,Match Report,,10.0,2.0,0,0,4.0,0,Denmark
83,2022-11-30,18:00,World Cup,Group stage,Wed,Neutral,L,0,1,au Australia,0.6,0.6,68.0,41232.0,Christian Eriksen,4-3-3,Mustapha Ghorbal,Match Report,,13.0,3.0,0,0,3.0,0,Denmark
84,2021-03-25,20:45,WCQ,First round,Thu,Home,D,1,1,gr Greece,,,80.0,,Sergio Ramos,4-3-3,Marco Guida,Match Report,,9.0,2.0,0,0,0.0,0,Spain
