,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
79,2023-06-18,20:45,UEFA Nations League,Final,Sun,Neutral,D,0 (5),0 (4),hr Croatia,54.0,41110.0,Jordi Alba,4-2-3-1,Felix Zwayer,Match Report,Spain won on penalty kicks following extra time,21,2,0,0,5,1,Spain
80,2022-06-02,20:45,UEFA Nations League,League A,Thu,Away,D,1,1,es Spain,40.0,41236.0,João Moutinho,4-3-3,Michael Oliver,Match Report,,7,2,0,0,1,0,Portugal
81,2022-06-05,19:45,UEFA Nations League,League A,Sun,Home,W,4,0,ch Switzerland,55.0,42325.0,Cristiano Ronaldo,4-3-3,Orel Grinfeeld,Match Report,,18,10,0,0,1,1,Portugal
82,2022-06-09,19:45,UEFA Nations League,League A,Thu,Home,W,2,0,cz Czechia,63.0,44100.0,Cristiano Ronaldo,4-3-3,Matej Jug,Match Report,,11,5,0,0,1,1,Portugal
83,2022-06-12,20:45,UEFA Nations League,League A,Sun,Away,L,0,1,ch Switzerland,58.0,26300.0,Pepe,4-3-3,Fran Jović,Match Report,,20,8,0,0,1,0,Portugal
84,2022-09-24,20:45,UEFA Nations League,League A,Sat,Away,W,4,0,cz Czechia,56.0,19322.0,Cristiano Ronaldo,4-3-3,Srđan Jovanović,Match Report,,16,5,0,0,2,1,Portugal
85,2022-09-27,19:45,UEFA Nations League,League A,Tue,Home,L,0,1,es Spain,32.0,28196.0,Cristiano Ronaldo,4-3-3,Daniele Orsato,Match Report,,9,4,0,0,4,0,Portugal
86,2022-06-02,20:45,UEFA Nations League,League A,Thu,Away,L,1,2,cz Czechia,62.0,12236.0,Granit Xhaka,4-4-2,Daniel Siebert,Match Report,,15,7,0,0,2,0,Switzerland
87,2022-06-05,19:45,UEFA Nations League,League A,Sun,Away,L,0,4,pt Portugal,45.0,42325.0,Granit Xhaka,4-2-3-1,Orel Grinfeeld,Match Report,,5,1,0,0,6,0,Switzerland
88,2022-06-09,20:45,UEFA Nations League,League A,Thu,Home,L,0,1,es Spain,34.0,25875.0,Granit Xhaka,4-3-3,Serdar Gözübüyük,Match Report,,7,1,0,0,2,0,Switzerland
89,2022-06-12,20:45,UEFA Nations League,League A,Sun,Home,W,1,0,pt Portugal,43.0,26300.0,Granit Xhaka,4-3-3,Fran Jović,Match Report,,5,2,0,0,8,1,Switzerland
